category,topic
WHAT WOMEN IN FILM WANT,
CONSTELLATIONS,
"ENDS IN ""O""",
A LITTLE DAD'LL DO YA,
BRITISH HISTORY,
WORLD LIT,
DOUBLE DOUBLE LETTERS,
"""THE"" LAND IS THE LAND",
QUOTABLE PAINTERS,
CONNECTICUT,
COWBOY TALK,
ADMIRALS,
MUSIC APPRECIATION,
FOREIGN CURRENCY,
FOOTBALL,
AMERICAN REVOLUTION,
COUNTRY CROONERS,
20th CENTURY PERSONALITIES,
ACTRESSES & ROLES,
EGYPT,
AVIATION,
CLICHES,
COOKING,
WEAPONS,
KIDDIE LIT,
HANDCRAFTS,
'60s SONGS,
SHOW BIZ BIOGRAPHIES,
ALPHABET SOUP,
SALAD,
WOMEN WRITERS,
ELEANOR ROOSEVELT,
FOREIGN EXCHANGE,
SEAS,
MYTHOLOGICAL WOMEN,
BEST SELLERS,
WHAT'S COOKING AT THE NEW YORK TIMES,
WATER UNDER THE BRIDGE,
DOCTOR WHO,
AMY ADAMS FILM ROLES,
OUR MUSICAL PRESIDENTS,
"""USA""!",
THE THEATER,
OXYGEN,
NAME THE 19th CENTURY DECADE,
SNOW WHITE'S LESSER-KNOWN DWARFS,
WHOLE LOTTA LOVE BOAT,
USA!,
THERE'S SOMETHING ABOUT A MAN IN UNIFORM,
THE WRITE STUFF,
ZIP IT!,
TV TITLE ____& ____,
NICE PACKAGE,
THE MARQUIS DE LAFAYETTE,
NON-TALKATIVE SHOW BIZ FOLK,
ICELAND,
"LADY ""B"" GOOD",
ARMED,
DANGEROUS,
DOING BUSINESS INTERNATIONALLY,
TASTY LITERATURE,
KNOWLEDGE,
SUPERATHLETES,
ALSO A KEYBOARD KEY,
LET'S VISIT SCOTLAND,
"SELF-RHYMING ""H"" WORDS",
FRIENDS,
ROMANS,
COUNTRY MEN,
LEND ME YOUR EARS,
THAT'S IN ROMEO AND JULIET,
OUR MISTAKE!,
AUSTRIA,
THE COMICS,
KINGLY NICKNAMES,
GEMSTONES,
3-Dec,
SHAKESPEARE & FILM,
FAIRIES & FOLKLORE,
BROADWAY LYRICS,
GREAT NICKNAMES,
5-LETTER BIRDS,
CAPS,
FAMOUS NOVELS,
FILMS OF THE '40s,
WILDE,
AMERICAN POETRY,
NATIONAL COATS OF ARMS,
NEW HAVEN,
THE MATRIX,
AMERICA'S MOST WANT ADS,
REALLY OLD HISTORY,
BODY TALK,
OLD HAVEN,
THINGS IN THE YALE LIBRARY,
HERE COMES THE SUN,
19th CENTURY AMERICAN AUTHORS,
SMART ANSWERS,
BIG IN THE USA,
HISTORIC NEW ENGLAND,
STAR TREK: THE ORIGINAL SERIES,
MOOLA MOOLA,
SUMMER JOBS,
LEAPIN' LIZARDS,
"""ARF""",
STRICTLY BUSINESS,
COLLEGE MOVIES,
FARAWAY PLACES,
HERE'S A 20,
SIGNS OF THE ZODIAC,
"THE ""IV"" LEAGUE",
THE FIFTH CENTURY,
THE DEANS LIST,
THE IVY LEAGUE,
ASTRONOMY & SPACE,
RECENT CINEMA,
ANAGRAMMED COUNTRIES,
DAISY CRAZY,
THE WORLD ENVIRONMENT,
YALIES -- THEY'RE SO DRAMATIC!,
THE U.S. CONGRESS,
"FIRST, MIDDLE & LAST NAME'S THE SAME",
WHERE THE HECK IS THAT?,
CHANGE A LETTER,
OLYMPIC SPORTS,
SPEECH!,
LORD OF THE RING,
"JEFFERSON, LINCOLN OR CLINTON",
EAT YOUR FOREIGN VEGETABLES,
SLOGANEERING,
"""FAT"" CHANCE",
THE SETH GREEN SCENE,
IT OPENED IN NEW HAVEN,
A BUCKLEY LEXICON,
VOYAGERS,
LATE NIGHT TV,
CAN YOU PICTURE THIS?,
ROTC,
3-LETTER WORDS IN YALE,
YOU'RE HISTORY,
21st CENTURY ROCK,
DIET & EXERCISE,
COLLEGE PROFESSORS,
THE REAL CANCUN,
PEOPLE ON THE MAP,
MIXED DOUBLES,
CAPITAL CITY MAYORS,
MERRIAM-WEBSTER'S COLLEGIATE DICTIONARY,
ELIs,
HABITATS,
MERYL STREEP,
AN ENGLISHMAN,
ON CAMPUS IN THE '60s,
LESSER-KNOWN ANCIENT ROMANS,
TIME MAGAZINE COVERS,
HISTORIC HANDSHAKES,
"TOYS ""R"" US",
D.C.-AREA LANDMARKS,
REALITY TV HOSTS,
COMPARING,
APPLES & ORANGES,
THE BEGINNING OF THE PLAY,
A GLOBAL CATEGORY,
MOVIE MUSIC,
"""ROID"" RAGE",
ARTISTS & THEIR SUBJECTS,
RETURN OF THE WOOD,
AMERICAN PRODUCTS,
THE VIKINGS,
SICKNESS & HEALTH,
VERY GRIMM FAIRY TALES,
SPAIN,
1986,
PIANO LESSON,
"""ORM""Y WEATHER",
RAINY SONGS,
LET IT SNOW,
HAIL!,
"HURRICANE, TORNADO OR CYCLONE",
"AT LAST, SUN",
THE MONGOLS,
TV DADS,
ANIMAL PARTS,
ALSO ON A BIKE,
1920s FICTION BESTSELLERS,
BROWNIAN NOTIONS,
CYCLING,
RECYCLING,
SEWING,
IN STATUARY HALL,
1956,
SPORTS  HISTORY,
NAMES THAT ARE VERBS,
20th CENTURY AUTHORS,
CANADIAN HISTORY,
JULIUS CAESAR,
NEWSCASTERS,
FOREIGN U.S. CITIES,
CRACKER JACK,
"""SOFT""",
MOVIE AUTHORS,
SPORTS TRIVIA,
"""HARD""",
THE NON&#8209;DEPRESSING 1930s,
FILMS INSPIRED BY MAGAZINE ARTICLES,
LIGHTHOUSES,
"""PAT""",
I'D LIKE TO SOLVE THE PUZZLE,
THE ART OF THE KISS,
PRINCELY NICKNAMES,
"SOPHOCLES, EURIPIDES & AESCHYLUS",
"""BORN"" TO BE A SONG",
WORDS IN TRANSITION,
EXOTIC FRUITS & VEGETABLES,
EXPLOSIVES,
EUROPEAN POTPOURRI,
POLITICIANS,
PLAYS & PLAYWRIGHTS,
MEDICAL MATTERS,
FILM FRANCHISES,
'90s NEWSMAKERS,
ALLITERATION ALL AROUND,
TODAY'S TENNIS STARS,
LITERARY SETTINGS,
WOODROW WILSON'S FOURTEEN POINTS,
I'M GOING ____ ON THE TITLE,
LINGO,
"HIT THE ""BEACH""",
APOSTOLIC NAMES,
NOT CHESS AGAIN!,
TV ROLES,
DOUBLE D WITH ANOTHER D,
THE SECURITIES & EXCHANGE COMMISSION,
IN WEBSTER'S DICTIONARY,
WATER SCIENCE,
"""A""+ IN HISTORY",
W. SOMERSET MAUGHAM,
NATIONAL AIRLINES,
STATE OF THE ESTATE,
MY LITTLE PONY NAMES,
TECH SAVVY,
IN B__W,
THE KNIGHTS TEMPLAR,
GERMAN LIT,
"GEOGRAPHER'S ""D""ICTIONARY",
IN COLOR,
1984,
KID STUFF,
SONG,
HOLLYWOOD MARRIAGES,
"""GOD""LY THINGS",
1988,
RUBBER,
BALLS,
19th C. AMERICA,
"""R"" YOU READY?",
MOVIE STARS,
RABBITS,
FAMOUS SAILORS,
SPORTS QUOTES,
CHOCOLATE,
PRESIDENTIAL ASTROLOGY,
LITERARY CLASSICS,
A PICTURE IS WORTH...,
4-LETTER VERBS,
GIVE ME A RING,
THE FILMS OF STANLEY TUCCI,
"2nd PERSON, ACTIVE",
THE OLD SOD,
OLD TV SHOWS BY EPISODE TITLE,
AT THE MUSEUM,
SLOGANS,
CRITTERATURE,
ON THE ISLAND,
"ON THE ""MAIN"" LAND",
CELEBRITIES IN SONG LYRICS,
MEAT,
ALLITERATIVE NAMES,
"WHAT THE ""L""",
CELEBRITY ROMANCES,
WHICH AFRICAN COUNTRY?,
TEAMS THAT HAVEN'T WON THE WORLD SERIES,
PRESIDENTS' SPEECHES: ONE WORD OFF,
A FORTUNE 500 COMPANY,
"IT'S ALL ABOUT ""U""",
STARTS WITH AN ANIMAL,
COLD SCIENCE,
INDEPENDENCE DAYS,
"""I. C.""",
DEAD PEOPLE,
WHAT'S YOUR NAME?,
BATTLES IN THE WAR,
Y BEFORE E,
COMEDIC TV PARTNERS,
CHRISTIAN DENOMINATIONS,
MOTOWN,
WORLD OF BOOKS,
CALIFORNIA COUNTIES,
MAJOR LEAGUE BASEBALL,
1869,
FIRE!,
ESCAPES,
"""HOT"" STUFF",
ANCIENT EGYPT,
"C D ""B""",
4-LETTER BODY PARTS,
WEBSTER'S 3rd P. 2004,
AROUND THE YEAR,
DISNEY MANIA,
PIANO LESSONS,
TV TRIVIA,
BIBLICAL ZOO,
SINGERS & DANCERS,
"""SAN"" CITIES",
1st NOVELS,
AMERICAN RIVERS,
THE CRUSADES,
GLASS,
ANTONYMS,
MEXICO,
MEATS,
JACKIE GLEASON,
SPACE & AVIATION,
WAR MOVIES,
STATE NICKNAMES,
WILD BILL HICKOK,
FOUNTAINS,
FILMS OF THE '60s,
FASHION DESIGNERS,
NEW JERSEY CITIES,
INTERNATIONAL ORGANIZATIONS,
MONTH-LONG OBSERVANCES,
THE 1996 TONY AWARDS,
NORSE MYTHOLOGY,
DOUBLE TALK NAMES,
CHARLES A. LINDBERGH,
TELEVISION HISTORY,
WORDS ABOUT WORDS,
AMERICAN UNIVERSITIES,
"STARTS WITH ""A""",
MEN'S COLOGNE,
PHYSICAL SCIENCE,
1967,
CELEBRITY QUOTES,
RECORD ALBUM COVERS,
FOREIGN BRAND NAMES,
ILLINOIS,
"ENDS WITH ""Z""",
METALLIC STARS,
RAYMOND LOEWY DESIGNS,
TENNESSEE,
BOOKS OF THE BIBLE,
FAMOUS COUPLES,
BOXING MOVIES,
OLD-TIME RADIO,
SEE THE POP HIT,
"""A""DJECTIVES",
SO YOU WANT TO WRITE A NOVEL,
steve jobs|,
YOU SAID WHAT?!,
7-LETTER WORDS,
THEIR REAL FIRST NAME,
DAYTIME TELEVISION,
"THE PLACE TO ""B""",
AMERICAN POEMS,
ALSO A CABINET DEPARTMENT,
HAIKU ABOUT THE POET,
SOUTH AMERICAN CAPITALS,
"THE ""MAR"" THE MERRIER",
THAT'S A WRAP!,
THE BOOK OF NORMAN,
FICTIONAL TV TOWNS,
LET'S STOP AT THE GAS STATION,
SHELL,
X ON,
COMPUTER HISTORY,
THE BRADY BUNCH,
CRIME OF THE DECADE,
PLAYING POLITICS,
FROM PAGE TO MUSICAL,
BOTANISTS,
"A ""COOL"" CATEGORY",
QEII IS THEIR QUEEN TOO,
DOUBLE THAT LETTER!,
ODE ON A,
GRECIAN EARN,
ROCK & ROLL,
THEATER RHYME TIME,
DECIMALS,
HAIRLESS BANDS,
YOSEMITE NATIONAL PARK 125th ANNIVERSARY,
"""MM"" BOP",
COUNTRIES IN SPANISH,
LITERARY BEFORE & AFTER,
EUROPEAN MUSEUMS,
JESUS,
5 SHADES OF GRAY,
CELEBRITY DATE BOOK,
SUPERLATIVE STATES,
"A FEW GOOD ""MEN""",
INSIDE THE NEW YORK TIMES,
PAINTED LADIES,
LITERARY CRIME WATCH,
"""C"" IN SCIENCE",
THE PRO SPORTS TEAM & BAND NAME,
2 LETTERS MISSING,
UNITED NATIONS NATIONS,
DICKENS BOOK BY CHARACTER,
SUPER BOWL MVP QBs,
FINANCIAL LITERACY,
"""EX""CELLENT!",
BLUE BIRDS,
OF HAPPINESS,
GREEK ALPHABET PUZZLERS,
ASIAN MOUNTAINS,
THEORIES OF EVERYTHING,
20th CENTURY COMPOSERS,
TV SHOWS BY SIBLINGS,
WHERE AM I?,
"NAME THAT BASEBALL STAT, STAT!",
MEDICAL AKAs,
STILL ALICE IN WONDERLAND,
DON'T DRINK THE WATER,
WOMEN ARTISTS,
NEWS OF THE 21st CENTURY,
HOME MOVIES,
"""HOW"" GOES IT",
THE I.T. GUY,
PUBLISHED FIRST,
STATE OF EMERGENCY,
A BILL IN CONGRESS,
"""UN"" ENDING",
"THE ""I.T."" GUY",
BIBLICAL CITIES,
I AM HISTORY!,
SWORDS,
THESE WORDS COULD GO ON A DIET,
VILLAINS,
IT'S TACO TUESDAY,
NEW ENGLAND,
TRUE BLOOD,
"SURE ""SHOT""",
SEUSSICAL TITLES,
OLD SCHOOL HIP-HOP,
HISTORY OF THE WORLD PART II,
POP CULTURE TRANSPORTS,
"MY KIND OF ""TOWN""",
AN ANTONYM OF...,
MODERN AMERICAN POETRY,
GAME SHOWS,
SPACE EXPLORATION,
ENGLISH LIT,
SCRAMBLED 20th CENTURY DECADES,
"""I"" OF THE TIBER",
THE PREAMBLE OF THE CONSTITUTION,
HOPE YOU REMEMBER THAT OLD SONG!,
DIRECTORS BY FILM,
STATE FAIR SITES,
HEMINGWAY,
"BLANK ""UM""",
VETERINARY MEDICINE,
THE PRIME MERIDIAN,
ARGENTINA,
TENNIS,
U.S. MUSEUMS,
CHLDREN'S LITERATURE,
"ENDS IN ""OO""",
SWEETS,
FLORIDA,
SILLY SONGS,
THE SMITHSONIAN,
PRESIDENTIAL ALMA MATERS,
THE 16th CENTURY,
SWEETENERS,
PRESIDENTS' MIDDLE NAMES,
CONCERT HALLS,
AUTO MAKERS,
3-LETTER RESPONSES,
TRANSLATE THE FRENCH,
BOOKS' SUBTITLES,
OLIVIA,
NEO GEO,
THINK MUSIC,
THE U.S. MARINE CORPS,
"""OO"" RAH",
POPULAR PSYCHOLOGY TERMS,
DINING OUT,
DUTCH TREAT,
BIBLICAL KINGS,
MODERN HISTORY,
FLUIDS,
SCOTTISH RULERS,
ARCHEOLOGY,
CITY NAME ORIGINS,
PREGNANCY & CHILDBIRTH,
THE KENNEDY CENTER HONORS,
"DESPICABLE ""ME""",
MINIONS,
A BIT O' BRIT LIT,
CHESS CHAMPS,
MR. SMITH GOES TO...,
SELF-PORTRAIT OF THE ARTIST,
VISITING ITALY,
WHOSE SONGS?,
QUOTATIONS BY THE NUMBER,
THE SILENT LETTER IN...,
MOONS OF THE SOLAR SYSTEM,
OKLAHOMA!,
THIS & THAT,
COLORFUL LANGUAGE,
JUST PASSING THROUGH,
DIVINE COMEDIES,
NICKNAMES FOR FEMINISTS,
SAME MOVIE & SONG TITLE,
CITIES ON THE RIVER,
CRYPTIC CROSSWORD CLUES,
DANTE'S DIVINE COMEDY,
INAUGURAL ADDRESSES,
PRESIDENTS BY WON-LOST RECORD,
IT BORDERS CHINA,
TECHNOLOGY MILESTONES,
F-STOP,
VETERANS,
WHODUNIT?,
FAMILIAR SOUNDING TRIPLES,
RULE OF LAW,
MEDIEVAL LITERATURE,
VETERANS DAY FILM FESTIVAL,
ENTERTAINING UNCLES,
LITERARY STRUCTURE,
FROM THE LATIN FOR...,
ADS & TAGLINES,
ISLAND HOPPING,
CALIFORNIA WINE,
BOOKS ABOUT POLITICS,
"""WHAT"" MOVIE?",
OUTSIDE THE BACHS,
ARTISTS' SUBJECTS,
NAMING THE FIRST PRESIDENT,
COUNTING TO 2,
WRITING YOUR OWN NAME,
PLAYING THEMSELVES,
FALLING OFF A LOG,
"THIS SHOULD BE ""EZ""!",
TIME  MAGAZINE'S PERSON OF THE YEAR,
'80s FICTION,
DESERTS,
A LA DESCARTES,
GREEK MYTHOLOGY,
WHICH CAME FIRST,
AMERICAN PLACE NAMES,
NURSERY RHYME TIME,
SPORTS DYNASTIES,
SODA POP QUIZ,
THE METROPOLITAN OPERA,
SONGS THAT GET STUCK IN YOUR HEAD,
HE WAS THE POPE...,
LA LITTERATURE FRANCAISE,
WHAT A BEAST!,
"""CU"" LATER",
CITIES OF THE EUROPEAN UNION,
BIBLE BOOKS,
GREAT FOOTBALL PLAYS,
"YOU'RE ""DA"" BOMB!",
SAUCE,
BEAR NAYS,
SCI. ABBREV.,
HISTORY 101,
"""A""UTHORS",
THE EX FILES,
TOUGH BALLET,
AFRICAN COUNTRIES,
HISTORIA,
"I'D LIKE TO MAKE IT A TRUE ""D.D.""",
VIDEO GAME VILLAINS,
NATIONAL PHRASES,
PRESIDENTIAL MEDAL OF FREEDOM RECIPIENTS,
WHAT'S THE WORD?,
RARELY QUOTED SHAKESPEARE LINES,
SHOW TUNES,
WORDS IN FLOWERS,
THEIR MAIN INSTRUMENT,
"""ANT"" MAN",
RECENT BESTSELLERS,
RIGHT NOW SCIENCE,
"""NORTH"" & ""SOUTH"" AMERICA",
SNL ALUMNI,
AUTOLOGICAL WORDS,
THE TUTORS,
FRENCH NOVEL TITLE HEROES,
WRITERS MAKE PRETTY GOOD FRIENDS,
CABLE SHOWS,
LESSER-KNOWN SUPERHEROES,
FIT BITS,
HOW MANY MILES?,
HOW THE EAST WAS WON,
THE EXECUTIVE BRANCH,
"MYTHOLO""G""",
"MOVIE LINES, MADE TV-SAFE",
CITY CUISINE,
KIDDIE LITERATURE,
THE U.S. ARMED FORCES,
VIVE LA FRANCE,
THE LIBERTY BELL,
FLORAL QUOTES,
CINDERELLA,
ACADEMY AWARDS,
GEOGRAPHIC SQUARES,
PRESIDENTS ON TV,
"CROSSWORD CLUES ""T""",
LAST NAMES IN THE HARRY POTTER BOOKS,
"EARTH, WIND OR FIRE",
HAMILTON,
HIS OWN MUSEUM,
WHERE'S THAT BONE?,
WORDS & PHRASES,
A CATEGORY WITH GAPS,
EGOT-ISTS,
DOG BREEDS,
LATIN AMERICAN HODGEPODGE,
BESTSELLERS,
PIPES & PIPERS,
MOVIE LIFE HACKS,
CRAIGS LIST,
"CLASSIFIED ""AD""s",
TERM OF ART,
RELIGIOUS BELIEF,
ENDS IN DOUBLE LETTERS,
FRENCH-SPEAKING COUNTRIES,
"HAPPY BIRTHDAY, FRANK SINATRA",
LITERARY BRITAIN,
A LOT OF BUZZ,
ALLITERATION STATION,
WHAT'S IN YOUR SUPERMARKET CART?,
THE COMMUNIST MANIFESTO,
MARKS & ANGLES,
MEL ON EARTH,
PARROT CULTURE,
SO VERY BRITISH,
FABRICS & TEXTILES,
ON THE GLOBE,
NO VOWELS BUT Y,
19th CENTURY AMERICAN LITERATURE,
FILL IN THE BLANK CANVAS,
MOVIE CAMEOS,
ANAGRAMMED FORMER WORLD LEADERS,
NUT-TRITION,
THE NEW YORK TIMES CROSSWORD,
THE ROMANTIC POETS,
"HONEST ""ABE""",
PALACES,
INTERNATIONAL SWIMMING HALL OF FAMERS,
MINNEAPOLIS,
ST. PAUL,
THE SIMPSONS EPISODE TITLES,
THE SQUIRREL FAMILY,
SUV SHOPPING,
"""BAM""! ""POW!""",
BREWING BEER,
THE LARGEST COUNTRY...,
MOVING PICTURES,
WHAT HAPPENED WHEN?,
STARTS WITH A FRUIT,
COLD-BLODDED ANIMALS,
"""O"" NO!",
FENCING,
"""OY"" VEY!",
A NEW BABY,
FAMOUS BELLS,
BRIT SPEAK,
OFFBEAT MUSEUMS,
STATE CAPITAL RIVERS,
JUST IN THE LAST FEW MONTHS,
A NEW YEAR'S BABY,
SCHOOLHOUSE ROCK,
"""LOP""SIDED WORDS",
WEDDING ISLE,
LODGE PODGE,
COLLEGES BY TEAM NAMES,
BARONS & BARONESSES,
DOWNRIGHT BEASTLY,
ON THE LETTERHEAD,
NOM NOM NOM DE GUERRE,
MOVIE BIOGRAPHIES,
"STARTS WITH ""S""",
WYOMING,
DANGEROUS WEATHER,
THE PULITZER PRIZE AT 100,
RAPPERS,
COLLEGE DEGREES,
GENGHIS KHAN,
WHEEL OF FORTUNE,
FAMILY FEUD,
NEWLYWED GAMES,
THE AMERICAN BIBLE CHALLENGE,
NAME THAT TUNE,
"LET'S MAKE A ""DE-""",
REVOLUTIONARY QUOTATIONS,
"WHAT'S THE ""&#8209;OLOGY""?",
OPEC NATIONS,
ON THE STAGE,
THE SUPER BOWL HEAD COACH'S TEAM,
____ IN THE ____,
SITCOMS,
MOVIE NOSTALGIA,
CHAINS,
RODENTS,
FRENCH,
FAMOUS AUTHORS,
THE GETTYSBURG ADDRESS,
THE WORLD ALMANAC 2016 EDITION,
INCREDIBLY SPECIFIC WEDDING VOWS,
DWELLING ON THE PAST,
'90s POP CULTURE,
BETWEEN 5 FERNS,
"IT'S A ""WR""AP",
"BOOKS, ""OF"" ALL THINGS",
YOU MIGHT NEED SURGERY,
FOUND IN ROY G. BIV,
"SCREAMS, SHOUTS",
WALES,
WORLD RELIGION,
THE NORTHERNMOST STATE CAPITAL,
SCIENCE UPDATE,
RADIO,
HOUSE PROUD,
SPORTS CENTER,
"""E-S-P-N""",
RECENT AFRICAN HISTORY,
IRISH PLAYWRIGHTS,
ALWAYS READY: THE U.S. COAST GUARD,
WHICH NYC BOROUGH?,
ANAGRAMMED BOOKS OF THE BIBLE,
LONG-RUNNING SITCOMS,
DOUBLE-LETTER BRANDS BY SLOGAN,
PO PRESENTS UNCONVENTIONAL WARRIORS,
ROTTEN TOMATOES,
WHERE'S THAT BOOK?,
SENIOR-ITIS,
STARTS & ENDS WITH DIFFERENT VOWELS,
BAND WITH,
IN WHICH MONTH,
ELECTION TERMS,
SHEER WILL,
COUNTRIES' PROVINCES,
POP SONGS OF 2015,
"""EX""s & ""OH""s",
POP-POURRI,
ARCHITECTURE & BUILDING,
REQUIRED READING,
SEEING STARS,
U.S. NATURAL WONDERS,
THE 1800s,
GEOGRAPHIC ABBREV.,
THE MISSPELLED WORD,
NON-POTENT POTABLES,
I NEED THE STRONG STUFF,
WHO SAID THAT?,
BAND AID,
MATH TEST,
"LET'S ""GO""",
"""LAND"" HO!",
PREFIX IT FOR ME,
DOGGING IT,
TV FAMILY RELATIONSHIPS,
GOING UNDERWATER,
I NEED A SUB,
LET'S GET DOWN TO BUSINESS,
KNOW THY BIBLE,
LOST IN SPACE,
STUFF HAPPENS,
REACH FOR THE TOP,
"""ADD""/""DROP""",
MOMENTS IN HISTORY,
STARBUCK'S ORDERS,
TALL,
SOY,
HALF CALF,
WITH FOAM,
ADD A SHOT,
OTTOMAN HISTORY,
FICTIONAL WORLDS,
STARTS & ENDS WITH K,
ALL ABOUT NUMBERS,
WALL-TO-WALL,
19th CENTURY BOOKS,
DROPPED OUT OR EXPELLED,
SUPERHERO NAME CHANGES,
WILLIAM & MARY,
____UM,
COLLEGE MATH,
POP CULTURE WEBSITES,
WORLD ART,
IT'S A LIVING,
FLORIDA & FAUNA,
LITERAL LITERARY TITLES,
POTS & PANS,
SCIENCE TERMS,
ON NETFLIX,
LIKE A SIMILE,
INTERESTING PEOPLE,
SMALL COUNTRIES,
THIS IS MY FIGHT SONG,
"""IN"" THE DICTIONARY",
SUBCULTURES,
LET YOUR GREEK FLAG FLY,
CHILDREN'S AUTHORS,
BOSTON'S FREEDOM TRAIL,
SYFY MOVIES,
MIRROR WORDS,
NURSERY RHYME FOLKS,
YOUR 5-COURSE MEAL,
THEY SHARE A BIRTHDAY,
EAGLE POTPOURRI,
4-LETTER SCIENCE,
SPEARS,
"""AE"" I OWE YOU",
THE AFI's 100 YEARS... 100 MOVIES,
ARCHIE: 75 YEARS,
"AN ""IQ"" TEST",
THE STORY OF THE 21st CENTURY,
KEY,
PEEL,
WHO PLAYED 'EM?,
MOROCCO,
PRESIDENTIAL CAMPAIGN SONGS,
AMERICAN INVENTORS,
THINKING VERBS,
PEN NAMES,
ROCK ME GENTLY,
GREEN STUFF,
"""DO""",
MONEY IN OTHER WORDS,
A GOOD VIEW AT THE OPERA,
AN ACTOR'S LIFE FOR ME,
1890s AMERICA,
"AS EASY AS 1, 2, 4",
LATE ENTERTAINERS,
THE IMAGE AWARDS,
PIN THE STAR ON THE CONSTELLATION,
THIRD,
FERGUSON,
LET'S HAVE DESERT,
TV PETS,
BRITISH FICTION,
THE AMERICAN REVOLUTION ERA,
"WHAT'S THE ""PASS"" WORD?",
1-WORD STEPHEN KING BOOK TITLES,
STARS' REAL NAMES,
WHAT'S YOUR HURRY?,
MYTHOLOGICAL BEASTS,
BRITTANY,
NEVER TOO OLD,
CELEBRATIONS & GATHERINGS,
"""FY"" ON YOU",
"THAT TOWN'S IN TEXAS, TOO",
CRIME TIME,
DRINKING SONGS,
"SINGLE&nbsp;S, DOUBLE&nbsp;S",
PRAYERS,
THE MAN UPSTAIRS,
ALL KINDS OF RAYS,
WHAT A CHARACTER,
LOANWORDS,
THE NATURAL WORLD,
"""LAST"" FILMS",
BIG-SCREEN ELVIS,
IN THE STATE NICKNAME,
GET A HANDLE ON IT,
QUIZINE,
LITERARY MILITARY,
4-LETTER FRIENDS,
WIDE WORLD OF PORTS,
VICE PRESIDENTS,
REPORTAGE,
CELEBRITY MEMOIRS,
THE 3 I's HAVE IT,
BIBLE BOOKS IN POP MUSIC,
WHAT'S YOUR MOVIE PROFESSION?,
"THIS IS ""D"" PLACE",
REMEMBERING THE ALAMO,
"AT ""BAT""",
DOGGONE GOOD WRITING,
TED,
THE LAST MAN,
ON EARTH,
CLEVER LOGOS,
BOOK SONGS,
"ITALIAN, WITH THE SPEAKING",
YOU GET 95 YEARS,
TIME OFF,
FOR GOOD BEHAVIOR,
SCARLETT JOHANSSON ROLES,
"""UNK"" IN THE TRUNK",
BRIDGE ON THE RIVER,
KAUAI,
"""J""EOGRAPHY",
CELEBRITY ENTREPRENEURS,
COMPLETES THE TONY-WINNING PLAY TITLE,
POPULAR 1880s FEMALE BABY NAMES,
THE TYPE OF TRANSPORT,
COMPOUND WORD CONSTRUCTION,
ART CLASS,
U.S. LIBRARIES,
DEATH... WHAT A CHARACTER!,
"""YES"" ""NO"" ""OR"" ""MAY"" ""BE""",
POP MUSIC MILESTONES,
DETAILS ON THE BEST PICTURE OSCAR WINNER,
LIKE A BOSS,
THE MARCH OF TIME,
AKA,
THE ALGORITHM METHOD,
MY EX-WIVES & ME,
POLISH HISTORY,
"""TOUR""ISM",
LITERARY GEOGRAPHY,
SPORTS SHORTS 2015,
BOOZIN' IT UP,
OPERA AT THE MET,
THEY DIRECTED THEMSELVES,
IT'S IN THE BOOK,
NATIONAL ANTHEMS,
LIMITED TIME ONLY,
"""CALL"" NOW",
WORDS THAT SHOULD RHYME,
PLAYTIME WITH SHAKESPEARE,
SPOT THE CANADIAN,
AUDRA McDONALD ON BROADWAY,
A CATEGORY FULL OF COR(E)YS,
GANG GREEN,
"STARTS WITH ONE LETTER, ENDS WITH THE NEXT",
HALT!,
WHO GOES THERE,
20th CENTURY INVENTIONS,
STATE LANDMARKS,
INVERTEBRATES,
CLOTHES,
I'M RETIRED,
I RUN A LITTLE,
"""B"" & ""B""",
ITALIAN ART & ARTISTS,
MASTER OF NONE,
ANIMATED MOVIE SONGS,
LITERARY DEMISES,
STATE CAPITAL GEOGRAPHY,
Jul-93,
INVENTIONS,
RESTAURANTS,
TASTY ADS & JINGLES,
HISTORIC DOCUMENTS,
DEALER'S CHOICE,
"""LITTLE"" MOVIES",
SENSORY LIT,
2 FIRST NAMES?,
INVENTION & INNOVATION,
AFTER IMAGE,
OBITUARIES,
FIRST NAMES,
HYDROLOGY,
COUNTRY RHYME TIME,
MIDDLE S,
NATIONAL STATUARY HALL,
THE COLLEGE/ATHLETE,
I LOVE A SYMPHONY,
PUP QUIZ,
THE WINE CELLAR,
VICTOR,
HUGO AWARD-WINNING NOVELS,
OFFICIAL STATE ANIMALS,
"TRANS""PO""TATION",
THE BEATLES... GEAR!,
INDIRECT QUOTES,
SUTTER'S FORT,
A LITERARY MARY,
MOVIE COMMON THREADS,
"THE ""X"" FACTOR",
GOOD WORKOUT SONGS,
THE FINAL CHAPTER,
STABLE CHARACTERS,
"""I.M.""",
PAY,
"HOW ""SWEET"" IT IS",
EXPERIMENTS,
MOVIE TITLES IN OTHER COUNTRIES,
WORDS IN U.S. CAPITALS,
I.M. PEI,
BIRD WORDS & PHRASES,
"THEY SING, THEY ACT",
THERE'S CHEMISTRY BETWEEN US,
7 UP,
"BRING YOUR ""B"" GAME",
A SWEDISH KING NAMED GUS,
ME & MY LITERARY ARROW,
VILLAINS IN THE COMICS,
19th CENTURY TRANSPORTATION,
"""GET"" GOING",
WHO WANTS A BEER?,
FRENCH OCCUPATION,
ENTOMOLOGIST'S DICTIONARY,
BIG BATS OF BASEBALL,
"""D.H.""",
